职位名称,公司名称,公司信息,薪资,经验要求,jd详情
高级python爬虫工程师,奥德塔数据,"['数据服务', '未融资', '20-99人']",10-15K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/f613f44b0213d3190XVz3du7FVM~.html
Python 爬虫工程师,墨云科技,"['信息安全', 'A轮', '20-99人']",20-40K,"['3-5年', '学历不限']",https://www.zhipin.com/job_detail/3dd042791ae5b45f0XNy29i7EVY~.html
爬虫工程师,汇承,"['企业服务', '0-20人']",9-12K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/fc496cf69938d7200nJy2NS9Flc~.html
Python网络爬虫工程师,中关村(山东),"['计算机软件', 'C轮', '100-499人']",14-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/d0a2b2cbe6edb92033J-09m-FVU~.html
爬虫工程师,畅游无限,"['数据服务', '不需要融资', '0-20人']",12-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/745fe62cd422269303Vy29-_EVM~.html
爬虫工程师,青子未来,"['媒体', '20-99人']",25-50K·14薪,"['3-5年', '大专']",https://www.zhipin.com/job_detail/a13434930fb7aca633N92NW6GFI~.html
爬虫工程师,锐思数据,"['数据服务', '未融资', '20-99人']",10-15K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/922b6defbaa2283b0HFy3t-7ElQ~.html
Python工程师（爬虫）,ADVANCE,"['互联网', 'C轮', '500-999人']",15-23K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/3ba93eaa27aab82803xy39W7FFs~.html
数据爬虫工程师,安全共识,"['信息安全', 'A轮', '20-99人']",20-25K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/afd2a96dff83166f3nV93dq5E1Q~.html
爬虫工程师,新平在线,"['媒体', '0-20人']",8-12K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/f258fe22c4abb5a203V40tW0GFU~.html
爬虫工程师,硬核聚视,"['音乐/视频/阅读', '不需要融资', '100-499人']",15-30K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/3924fd9e0fc5b1f633Z929W1E1c~.html
爬虫工程师,中节能汇融,"['数据服务', '0-20人']",12-18K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/31cff454c829bd1133J_3Nq5E1U~.html
爬虫工程师,中投美华,"['投资/融资', '未融资', '0-20人']",10-15K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/6d6b0c20bdc5c0220HJ52dS9FFs~.html
爬虫开发工程师,天融信,"['信息安全', '已上市', '1000-9999人']",12-24K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/231497b15bdacace33Ny3NW5ElA~.html
爬虫工程师,迪思公关,"['广告/公关/会展', '已上市', '500-999人']",10-15K,"['1年以内', '本科']",https://www.zhipin.com/job_detail/56647885b61e3f351nN_2N-7FlQ~.html
Python爬虫工程师,BJUED,"['计算机软件', '未融资', '0-20人']",10-18K,"['1-3年', '学历不限']",https://www.zhipin.com/job_detail/fa3de3b16c8f1f821nJ839W-FVY~.html
python爬虫工程师,新恋景,"['互联网', '未融资', '0-20人']",10-15K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/4d3e5bdb2925e5063nB739m7EVI~.html
爬虫工程师,艾漫数据,"['互联网', '已上市', '20-99人']",9-18K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/9d8d8f32cc0803d51XR72t69FlU~.html
爬虫-Python开发工程师,猫喂猫,"['互联网', '100-499人']",15-18K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/3aaae87cd8776ed13nV50t2-E1c~.html
爬虫工程师,万贝科技,"['计算机软件', '未融资', '20-99人']",12-24K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/01919dfe1cfb127403d92tu9FFU~.html
爬虫工程师,爱奇艺,"['互联网', '已上市', '1000-9999人']",20-35K·14薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/d52a57f192e1285233F63dy0GVY~.html
爬虫工程师,久远谦长,"['互联网', '未融资', '100-499人']",13-26K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/ecccf9b887edfe1533R72N26E1U~.html
python爬虫工程师,极简文化传媒,"['广播/影视', '不需要融资', '0-20人']",10-12K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/36a7d2aae872fc6a33J809m9E1c~.html
爬虫工程师,格燃教育,"['培训机构', '不需要融资', '100-499人']",15-26K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/ef9e10509c14c277331729i9ElE~.html
爬虫工程师,红外高科,"['社交网络', '不需要融资', '20-99人']",10-15K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/98dbe6759b54835e1nx73t2-F1M~.html
爬虫工程师-java,千里马,"['互联网', '不需要融资', '500-999人']",13-18K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/8cc442d787c314073nR_3NW_GFo~.html
Python爬虫工程师,跟谁学,"['互联网', '已上市', '10000人以上']",20-40K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/8180573d7472abe40HB-2NS7Fls~.html
爬虫工程师,大数法则,"['互联网', '天使轮', '0-20人']",8-12K,"['1-3年', '学历不限']",https://www.zhipin.com/job_detail/127e1297bcdd9ffe33Z92t-1GVY~.html
爬虫工程师,元素征信,"['互联网', '不需要融资', '20-99人']",10-15K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/e6cdd26028b202c20HZ_3t-9F1c~.html
Python爬虫工程师,华鼎鸿基石油工程...,"['企业服务', '100-499人']",8-13K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/695e2886a91d8a310XJ63dq0GFY~.html
爬虫工程师 (MJ006156),作业帮,"['互联网', 'D轮及以上', '1000-9999人']",22-40K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/8d8338bf9c024d4d3nFz3929F1I~.html
爬虫工程师,手机小游戏,"['游戏', 'A轮', '20-99人']",8-10K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/97035b6a1aebd8481XZ93NW8F1o~.html
爬虫工程师,中润信投,"['房地产开发', '未融资', '20-99人']",10-15K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/453d0307806fe8780Hd8092_EVQ~.html
爬虫负责人,人民网,"['移动互联网', '已上市', '1000-9999人']",30-45K·14薪,"['5-10年', '本科']",https://www.zhipin.com/job_detail/b67ca57b348729170HB52di8GVY~.html
爬虫工程师,心梦浩,"['音乐/视频/阅读', '0-20人']",15-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/5b887acaf98e046233J43N-4FVY~.html
高级爬虫工程师,天眼查,"['互联网', 'A轮', '500-999人']",15-30K·15薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/71742c3fb59eafa833d63dq0GFQ~.html
爬虫工程师,中舟数据,"['数据服务', '不需要融资', '0-20人']",12-18K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/8aff4d9adb4811b00nF53tW_E1s~.html
爬虫专家,燃数科技,"['数据服务', 'A轮', '20-99人']",15-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/c22fb7ef9c7a7fb803J_39m7GFo~.html
爬虫工程师,北京果岸咨询,"['互联网', '未融资', '0-20人']",12-18K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/ee522d0d058ccb7e1nJ729-0EVs~.html
JAVA 爬虫工程师,千里马招标网,"['互联网', '不需要融资', '500-999人']",15-20K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/8453e12a6c29eede3nd-3Ny-ElI~.html
Python爬虫实习工程师,微播易,"['互联网', 'C轮', '500-999人']",3-4K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/ebb0176c0c05277d33F53d-1EFY~.html
高级爬虫工程师,好未来,"['互联网', '已上市', '10000人以上']",20-40K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/ab132fdf802de86e33d839q8Flc~.html
爬虫工程师,TokenInsight,"['数据服务', 'A轮', '100-499人']",15-20K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/d282149ed0c682b10XNz09S6FVA~.html
爬虫工程师,慧产科技,"['咨询', '20-99人']",8-13K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/200652f22fd3f21c0Hx_3dq6EVQ~.html
爬虫工程师,华兴资本,"['互联网金融', '不需要融资', '500-999人']",15-25K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/15fbe497c2389d2033R60t6_GVs~.html
爬虫工程师,腾云讯科,"['移动互联网', '不需要融资', '20-99人']",25-50K·15薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/709487ddff40d6ee331709S4E1s~.html
爬虫工程师,好有趣,"['电子商务', '未融资', '0-20人']",10-15K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/d0016fd0099cc5790X1z2tq1GVo~.html
爬虫工程师,快看世界,"['移动互联网', 'D轮及以上', '500-999人']",15-30K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/1f1c34a6f5b1ccee1X142t-_Elo~.html
爬虫研发工程师,智慧星光,"['互联网', '未融资', '500-999人']",9-13K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/b6ede1cf6d669c090XJ_39W7GFs~.html
